ToI,Name,Class_flag,Class,Carbon,Additional,ctp,Phot_status,Other_Name,Comments,Vmax,Av,Distance,Mv_calc,RV,Temperature,Type,RA,Dec,Location,Abundances,Inst/Res,Folder,Spectra_Type,Bluefile,Redfile,Alt_Bluefile,Alt_Redfile,Textfile,Extra_Monfile,RA_deg,Dec_deg,Gaia_RV,gaia_rv_err,known_RV,My_RV,parallax,p_err,pm_ra,pm_ra_err,pm_dec,pm_dec_err
,AO Her,7,HdC7:,C2 5.5,,,max,,,10.400,0.07,,,,,Cool,17:35:36.28,50:24:39.86,Galactic,,"Faulkes,en06/?",AOHer,ntt,nttAOHer_ftn_20130805_merge_1.6_56518_1_e.fits,,,,,,,,-530.64,0.94,,,,,,,,
,ASAS-RCB-1,5,HdC5,C2 5,,,max,V409 Nor,,11.900,3.63,3.208,-4.26,,,Cool,15:44:25.07,-50:45:01.26,Galactic,,WiFeS/3000,ASAS_RCB_1,AB,ASAS-1_066_Blue-A.fits,ASAS-1_066_Red-A.fits,ASAS-1_066_Blue-B.fits,ASAS-1_066_Red-B.fits,,,,,,,,-84.61,0.312,0.024,-3.765,0.025,-4.854,0.024
,ASAS-RCB-10,1,HdC1,C2 0.5,H1,,max,"NSV 8092, IRAS 16571-5011",,11.400,1.78,7.297,-4.7,,,Warm,17:01:01.41,-50:15:34.90,Galactic,,WiFeS/3000,ASAS_RCB_10,picky,ASAS-RCB-10__T2m3wb-20220715.143051-0147.spectrum.p11.fits,ASAS-RCB-10__T2m3wr-20220715.143051-0147.spectrum.p11.fits,,,,,,,62.32,0.19,,49.15,0.137,0.021,-1.336,0.022,-8.597,0.015
,ASAS-RCB-11,4,HdC4,C2 4.5,,,max,IRAS 18089-2809,,11.800,1.64,,,,,Cool,18:12:03.69,-28:08:36.23,Galactic,,WiFeS/3000,ASAS_RCB_11,AB,ASAS-RCB-11_July2010_Blue-A_072_unsmooth.fits,ASAS-RCB-11_July2010_Red-A_072_unsmooth.fits,ASAS-RCB-11_July2010_Blue-B_072_unsmooth.fits,ASAS-RCB-11_July2010_Red-B_072_unsmooth.fits,,,,,,,,-68.68,,,,,,
,ASAS-RCB-12,,,,,,0.8 decline,HV 8988,,,1.538,,,,,Warm/Cool,17:01:01.41,-50:15:34.90,Galactic,,WiFeS/3000,ASAS_RCB_12,normal,ASAS-RCB-12_T2m3wb_July2011_0045_unsmooth.fits,ASAS-RCB-12_T2m3wr_July2011_0045_unsmooth.fits,,,,,,,-43.49,0.61,,-65.43,,,,,,
,ASAS-RCB-13,,,,,,full decline,V581 CrA,in decline,,,,,,,Cool,18:24:43.47,-45 24 43.75,Galactic,,WiFeS/3000,ASAS_RCB_13,normal,ASAS-RCB-13_May2012_Blue_050_unsmooth.fits,ASAS-RCB-13_May2012_Red_050_unsmooth.fits,,,,,,,,,,,,,,,,
,ASAS-RCB-14,6,HdC6,C2 5.5,Li:,,max,IRAS 16446-1520,,,1.467,,,,,Cool,16:47:29.74,-15:25:22.9,Galactic,,WiFeS/3000,ASAS_RCB_14,picky,ASAS-RCB-14__T2m3wb-20220715.091140-0133.spectrum.p11.fits,ASAS-RCB-14__T2m3wr-20220715.091140-0133.spectrum.p11.fits,,,,,,,,,,-32.1,,,,,,
,ASAS-RCB-15,6,HdC6,C2 5.5,,,max,ASAS J170827-3226.8,,,1.574,,,,,Cool,17:08:27.19,-32:26:49.60,Galactic,,WiFeS/3000,ASAS_RCB_15,normal,ASAS-RCB-15_June2012_Blue_121_unsmooth.fits,ASAS-RCB-15_June2012_Red_121_unsmooth.fits,,,,,,,,,,,,,,,,
,ASAS-RCB-16,5,HdC5,C2 5.5,,,max,IRAS 17112-2122,,12.800,1.9,,,,,Cool,17:14:14.46,-21:26:13.78,Galactic,,WiFeS/3000,ASAS_RCB_16,normal,ASAS-RCB-16_June2012_Blue_122_unsmooth.fits,ASAS-RCB-16_June2012_Red_122_unsmooth.fits,,,,,,,,,,,,,,,,
,ASAS-RCB-17,5,HdC5,C2 5,,,max,ASAS J171744-2937.9,,13.100,3.16,,,,,Cool,17:17:44.49,-29:38:00.20,Galactic,,WiFeS/3000,ASAS_RCB_17,normal,ASAS-RCB-17_June2012_Blue_123_unsmooth.fits,ASAS-RCB-17_June2012_Red_123_unsmooth.fits,,,,,,,,,,,,,,,,
,ASAS-RCB-18,,,,,,0.6 decline,IRAS 18575-0207,,13.600,2.869,5.025,-4.41,,,Cool,19:00:09.44,-02:02:57.90,Galactic,,WiFeS/3000,ASAS_RCB_18,normal,ASAS-RCB-18_June2012_Blue_218_unsmooth.fits,ASAS-RCB-18_June2012_Red_218_unsmooth.fits,,,,,,,,,,112.76,0.199,0.027,-0.635,0.04,-2.915,0.034
,ASAS-RCB-19,,,,,,0.8 decline,"NSV 11664, IRAS 18592+1451",in decline,,2.062,8.855,,,,Cool,19:01:33.68,14:56:09.59,Galactic,,WiFeS/3000,ASAS_RCB_19,normal,ASAS-RCB-19_Aug2012_Blue_117_unsmooth.fits,ASAS-RCB-19_Aug2012_Red_117_unsmooth.fits,,,,,,,55.87,2.88,,35.92,0.113,0.032,-3.04,0.023,-7.108,0.023
,ASAS-RCB-2,5,HdC5,C2 5,,,max,IRAS 16375-5141,,,2.131,2.168,,,,Cool,16:41:24.75,-51:47:43.43,Galactic,,WiFeS/3000,ASAS_RCB_2,AB,ASAS-RCB-2_July2010_Blue-A_067_unsmooth.fits,ASAS-RCB-2_July2010_Red-A_067_unsmooth.fits,ASAS-RCB-2_July2010_Blue-B_067_unsmooth.fits,ASAS-RCB-2_July2010_Red-B_067_unsmooth.fits,,,,,,,,35.17,0.461,0.086,-2.423,0.098,-6.293,0.076
,ASAS-RCB-20,,,,,,1.6 decline,PT Aql,,,0.71,,,,,Cool,19:53:43.15,14:41:09.36,Galactic,,WiFeS/3000,ASAS_RCB_20,normal,ASAS-RCB-20_Aug2012_Blue_118_unsmooth.fits,ASAS-RCB-20_Aug2012_Red_118_unsmooth.fits,,,,,,,,,,-210.81,,,,,,
,ASAS-RCB-21,,,,,,0.5 decline,IRAS 18560-0224,in decline,,3.87,,,,,Cool,18:58:41.80,-02:20:11.30,Galactic,,WiFeS/3000,ASAS_RCB_21,picky,ASAS-RCB-21__T2m3wb-20220715.152321-0149.spectrum.p11.fits,ASAS-RCB-21__T2m3wr-20220715.152321-0149.spectrum.p11.fits,,,,,,,,,,29.9,,,,,,
,ASAS-RCB-3,5,HdC5,C2 3.5,H0.5,,max,CGCS 3744,,11.800,2.394,5.017,-4.1,,,Cool,16:54:43.61,-49:25:55.43,Galactic,,WiFeS/3000,ASAS_RCB_3,picky,ASAS-RCB-3__T2m3wb-20220722.101445-0131.spectrum.p11.fits,ASAS-RCB-3__T2m3wr-20220722.101446-0131.spectrum.p11.fits,,,,,,,,,,,0.199,0.018,1.099,0.024,0.417,0.018
,ASAS-RCB-4,6,HdC6,C2 5.5,Li:,,max,GV Oph,,11.900,0.48,4.811,-1.99,,,Cool,17:05:41.25,-26:50:03.36,Galactic,,WiFeS/3000,ASAS_RCB_4,picky,ASAS-RCB-4__T2m3wb-20220722.084331-0128.spectrum.p11.fits,ASAS-RCB-4__T2m3wr-20220722.084331-0128.spectrum.p11.fits,,,,,,,-113.36,0.84,,,0.208,0.031,-1.937,0.037,-5.856,0.023
,ASAS-RCB-5,,,,,,1.2 decline,IRAS 17491-3410,,12.300,2.173,,,,,Cool,17:52:25.51,-34:11:28.16,Galactic,,WiFeS/3000,ASAS_RCB_5,AB,ASAS-RCB-5_July2010_Blue-A_208_unsmooth.fits,ASAS-RCB-5_July2010_Red-A_208_unsmooth.fits,ASAS-RCB-5_July2010_Blue-B_208_unsmooth.fits,ASAS-RCB-5_July2010_Red-B_208_unsmooth.fits,,,,,,,,,,,,,,
,ASAS-RCB-6,,,,,,max?,NSV 13098,,13.000,0.13,,,,,Warm/Cool,20:30:04.97,-62:07:59.22,Galactic,,WiFeS/3000,ASAS_RCB_6,normal,SUM_ASAS-RCB-6_Blue.fits,SUM_ASAS-RCB-6_Red.fits,,,,,,,112.84,1.2,,125.62,,,,,,
,ASAS-RCB-7,5,HdC5,C2 5.5,Li:,,max,V653 Sco,,,1.132,,,,,Cool,17:49:15.66,-39:13:16.58,Galactic,,WiFeS/3000,ASAS_RCB_7,picky,ASAS-RCB-7__T2m3wb-20220722.090630-0129.spectrum.p11.fits,ASAS-RCB-7__T2m3wr-20220722.090630-0129.spectrum.p11.fits,,,,,,,-294.89,1.82,,-332.03,,,,,,
,ASAS-RCB-8,1,HdC1,C2 1,,,max,TYC 6283-1417-1,,10.900,0.59,,,,,Warm,19:06:39.87,-16:23:59.15,Galactic,Majority,WiFeS/3000,ASAS_RCB_8,AB,ASAS-RCB-8_July2010_Blue-A_086_unsmooth.fits,ASAS-RCB-8_July2010_Red-A_086_unsmooth.fits,ASAS-RCB-8_July2010_Blue-B_086_unsmooth.fits,ASAS-RCB-8_July2010_Red-B_086_unsmooth.fits,,,,,,,,2.7,,,,,,
,ASAS-RCB-9,,,,,,1.4 decline,IO Nor,,10.800,4,2.953,-5.55,,,Cool,16:22:28.83,-48:35:55.68,Galactic,,WiFeS/3000,ASAS_RCB_9,AB,ASAS-RCB-9_July2010_Blue-A_070_unsmooth.fits,ASAS-RCB-9_July2010_Red-A_070_unsmooth.fits,ASAS-RCB-9_July2010_Blue-B_070_unsmooth.fits,ASAS-RCB-9_July2010_Red-B_070_unsmooth.fits,,,,,21.86,0.2,,150.92,0.339,0.034,-4.196,0.037,-4.677,0.028
,DY Cen,,,,,,max,,halpha,13.100,,24.144,,,hot,Hot,13:25:34.08,-54:14:43.13,Galactic,,WiFeS/3000,DYCen,AB,DYCen_July2010_Blue-A_201_unsmooth.fits,DYCen_July2010_Red-A_201_unsmooth.fits,DYCen_July2010_Blue-B_201_unsmooth.fits,DYCen_July2010_Red-B_201_unsmooth.fits,,,,,,,,,0.041,0.014,-5.92,0.011,-0.297,0.009
,EROS2-CG-RCB-1,4,HdC4:,-,H0.5,ctp,max,,,,6.25,,,,,,17:52:20.04,-29:03:31.69,Galactic,,WiFeS/3000,EROS2-CG-RCB-1,picky,EROS2-CG-RCB-1__T2m3wb-20220715.134217-0145.spectrum.p11.fits,EROS2-CG-RCB-1__T2m3wr-20220715.134217-0145.spectrum.p11.fits,,,,,,,,,,,,,,,,
